investor_org_ref,investor_fund_ref,portfolio_org_ref,round_date,source_filing
,fund_bgp1,org_wayve,2026-02-25,"https://www.british-business-bank.co.uk/news-and-events/news/three-uk-pension-funds-invest-uk-venture-capital-through-british-business-bank -- GBP 8m of BBB's wider GBP 25m contribution to this round, attributed specifically to BGP Fund I; NOT additional to the separate British Business Bank -> Wayve row below, which is that same GBP 25m as reported by TechCrunch without the BGP-specific breakdown -- do not sum both when totaling this round's capital"
org_eclipse,,org_wayve,2019-11-18,https://www.balderton.com/news/wayve-secures-20m-series-a-to-facilitate-self-driving-car-trials-in-london/
org_balderton,,org_wayve,2019-11-18,https://www.balderton.com/news/wayve-secures-20m-series-a-to-facilitate-self-driving-car-trials-in-london/
org_d1capital,,org_wayve,2022-01-18,https://techcrunch.com/2022/01/18/wayve-raises-200m-series-b-led-by-eclipse-for-its-ai-for-autonomous-delivery-vehicles
org_bailliegifford,,org_wayve,2022-01-18,https://techcrunch.com/2022/01/18/wayve-raises-200m-series-b-led-by-eclipse-for-its-ai-for-autonomous-delivery-vehicles
org_moorestrategic,,org_wayve,2022-01-18,https://techcrunch.com/2022/01/18/wayve-raises-200m-series-b-led-by-eclipse-for-its-ai-for-autonomous-delivery-vehicles
org_linsecapital,,org_wayve,2022-01-18,https://techcrunch.com/2022/01/18/wayve-raises-200m-series-b-led-by-eclipse-for-its-ai-for-autonomous-delivery-vehicles
org_microsoft,,org_wayve,2022-01-18,https://techcrunch.com/2022/01/18/wayve-raises-200m-series-b-led-by-eclipse-for-its-ai-for-autonomous-delivery-vehicles
org_virgingroup,,org_wayve,2022-01-18,https://techcrunch.com/2022/01/18/wayve-raises-200m-series-b-led-by-eclipse-for-its-ai-for-autonomous-delivery-vehicles
org_compound,,org_wayve,2022-01-18,https://techcrunch.com/2022/01/18/wayve-raises-200m-series-b-led-by-eclipse-for-its-ai-for-autonomous-delivery-vehicles
org_ocadogroup,,org_wayve,2022-01-18,https://techcrunch.com/2022/01/18/wayve-raises-200m-series-b-led-by-eclipse-for-its-ai-for-autonomous-delivery-vehicles
org_softbank,,org_wayve,2024-05-07,https://wayve.ai/press/series-c/
org_nvidia,,org_wayve,2024-05-07,https://wayve.ai/press/series-c/
,fund_softbank_vf2,org_wayve,2026-02-25,https://www.balderton.com/news/wayve-secures-1-5b-to-deploy-its-global-autonomy-platform/
org_otpp,,org_wayve,2026-02-25,https://techcrunch.com/2026/02/24/self-driving-tech-startup-wayve-raises-1-2b-from-nvidia-uber-and-three-automakers
org_bbb,,org_wayve,2026-02-25,https://techcrunch.com/2026/02/24/self-driving-tech-startup-wayve-raises-1-2b-from-nvidia-uber-and-three-automakers
org_icehouse,,org_wayve,2026-02-25,https://techcrunch.com/2026/02/24/self-driving-tech-startup-wayve-raises-1-2b-from-nvidia-uber-and-three-automakers
org_schroderscapital,,org_wayve,2026-02-25,https://techcrunch.com/2026/02/24/self-driving-tech-startup-wayve-raises-1-2b-from-nvidia-uber-and-three-automakers
org_mercedesbenz,,org_wayve,2026-02-25,https://techcrunch.com/2026/02/24/self-driving-tech-startup-wayve-raises-1-2b-from-nvidia-uber-and-three-automakers
org_nissan,,org_wayve,2026-02-25,https://techcrunch.com/2026/02/24/self-driving-tech-startup-wayve-raises-1-2b-from-nvidia-uber-and-three-automakers
org_stellantis,,org_wayve,2026-02-25,https://techcrunch.com/2026/02/24/self-driving-tech-startup-wayve-raises-1-2b-from-nvidia-uber-and-three-automakers
org_uber,,org_wayve,2026-02-25,https://techcrunch.com/2026/02/24/self-driving-tech-startup-wayve-raises-1-2b-from-nvidia-uber-and-three-automakers
org_amd,,org_wayve,2026-04-15,https://www.cnbc.com/2026/04/15/wayve-fund-raise-amd-qualcomm-arm.html
org_arm,,org_wayve,2026-04-15,https://www.cnbc.com/2026/04/15/wayve-fund-raise-amd-qualcomm-arm.html
